imageName,labels
I107779,0
OAS1_0113_MR1,0
I90026,0
I119032,1
I92316,0
I90916,1
I132359,1
I118920,0
I119805,1
I37034,1
OAS1_0220_MR1,0
I118684,1
OAS1_0074_MR1,0
I34168,1
OAS1_0208_MR1,0
OAS1_0304_MR1,1
I90866,1
I37041,1
OAS1_0455_MR1,0
OAS1_0106_MR1,0
I138011,1
OAS1_0322_MR1,0
I66740,0
OAS1_0064_MR1,0
I62272,0
I40692,1
OAS1_0425_MR1,1
I70611,1
I83389,0
OAS1_0238_MR1,1
I122678,1
I35024,1
OAS1_0135_MR1,0
OAS1_0226_MR1,1
I118987,1
OAS1_0401_MR1,0
I109187,1
I47186,1
OAS1_0013_MR1,0
OAS1_0341_MR1,0
OAS1_0372_MR1,0
I119806,1
OAS1_0184_MR1,1
I142107,0
I31107,0
I120606,1
I74496,0
I123767,0
I64595,0
I34866,1
OAS1_0180_MR1,0
OAS1_0445_MR1,0
OAS1_0366_MR1,0
OAS1_0115_MR1,1
I71312,0
OAS1_0134_MR1,1
I47757,1
I64929,1
I140782,0
OAS1_0078_MR1,0
I119026,1
I40191,0
I82700,1
I132918,1
OAS1_0056_MR1,1
OAS1_0308_MR1,1
OAS1_0343_MR1,0
I82651,1
I143554,1
OAS1_0199_MR1,0
I129629,1
I40323,1
I141230,0
I119201,1
OAS1_0262_MR1,0
OAS1_0197_MR1,0
I138103,1
I33114,1
OAS1_0068_MR1,0
I89124,1
I63517,1
OAS1_0293_MR1,0
I62261,0
I101566,1
I39203,0
I34213,1
I39197,1
OAS1_0233_MR1,1
OAS1_0263_MR1,1
I88372,0
OAS1_0454_MR1,1
OAS1_0032_MR1,0
I94658,0
