imageName,labels
I92205,2
I64551,0
I118848,0
I75503,0
I136193,1
I111192,1
OAS1_0342_MR1,0
I109196,1
OAS1_0026_MR1,0
OAS1_0041_MR1,1
I94563,0
I40269,0
OAS1_0367_MR1,0
I119718,2
I89123,1
I94476,0
I132220,0
I87547,2
I87064,0
I106524,1
I90925,2
I35039,2
I86327,1
I143856,1
OAS1_0096_MR1,0
I138792,1
OAS1_0015_MR1,1
OAS1_0116_MR1,0
OAS1_0299_MR1,0
I72864,0
I118922,1
I120403,0
OAS1_0286_MR1,1
I73347,0
I132451,0
OAS1_0287_MR1,1
I139891,0
OAS1_0362_MR1,1
I64862,2
OAS1_0298_MR1,1
I66018,1
OAS1_0247_MR1,1
OAS1_0290_MR1,1
I35014,2
OAS1_0405_MR1,1
I63508,1
I86336,1
I42206,0
OAS1_0020_MR1,0
OAS1_0018_MR1,0
I118679,0
I32785,1
I40657,0
I82686,1
I31446,1
I118854,0
OAS1_0221_MR1,0
I92420,2
OAS1_0003_MR1,1
OAS1_0266_MR1,0
OAS1_0073_MR1,1
I118790,1
I39104,1
OAS1_0124_MR1,1
OAS1_0411_MR1,1
I91168,1
OAS1_0451_MR1,1
I90989,0
OAS1_0382_MR1,1
OAS1_0443_MR1,0
I67781,0
I39288,0
I118912,1
I124170,0
OAS1_0123_MR1,1
OAS1_0244_MR1,0
OAS1_0157_MR1,0
OAS1_0200_MR1,0
I102840,0
OAS1_0288_MR1,1
OAS1_0001_MR1,0
OAS1_0373_MR1,1
OAS1_0206_MR1,0
OAS1_0332_MR1,0
OAS1_0069_MR1,0
I75471,1
OAS1_0279_MR1,0
I96239,1
I59677,2
I59955,0
OAS1_0146_MR1,0
I120789,0
I70687,1
